,College,percent of students first-generation,percent of students in-state,percent of students international,percent of students registered with disabilities,percent of students male,percent of students female,percent of students American Indian or Alaskan native,percent Asian,percent Black,percent Hispanic/Latino,percent Native Hawaiian/Pac Islander,percent Two or more races,percent Unknown,percent White
104,San Diego State University,41.0,85,5,5.0,44,56,0,13,4,34,0,7,3,33
105,Santa Clara University,17.0,58,5,16.0,52,48,0,19,3,18,0,8,2,44
106,Sarah Lawrence College,11.0,22,9,20.0,24,76,0,4,5,10,0,5,9,58
107,Skidmore College,15.0,39,10,15.0,40,60,0,5,6,10,0,5,2,62
108,Smith College,19.0,18,15,,0,100,0,10,7,14,0,5,3,47
109,Southern Methodist University,16.0,41,6,12.0,51,49,0,8,5,13,0,4,1,64
110,Southwestern University,20.0,89,1,12.0,45,55,0,4,5,25,0,4,1,59
111,Spelman College,21.0,25,0,11.0,0,100,1,0,98,0,0,0,0,0
112,St Olaf College,13.0,46,10,17.0,41,59,0,7,3,8,0,4,1,68
113,Stanford University,30.0,38,11,19.0,49,51,1,25,7,17,0,10,0,29
114,Stevens Institute of Technology,15.0,68,3,5.0,79,21,0,18,2,13,0,0,5,59
115,Stony Brook University,36.0,94,10,6.0,50,50,0,30,7,14,0,3,7,30
116,SUNY at Albany,30.0,96,4,5.0,48,52,0,8,20,18,0,4,2,44
117,Swarthmore College,27.0,14,15,14.0,49,51,0,18,8,13,0,9,4,33
118,Syracuse University,19.0,36,14,13.0,46,54,1,7,7,10,0,4,3,55
119,Temple University,30.0,72,4,10.0,45,55,0,13,14,8,0,4,3,55
120,Texas A & M University-College Station,30.0,95,1,5.0,53,47,0,9,2,25,0,3,0,58
121,Texas Christian University,20.0,46,4,12.0,41,59,0,3,5,16,0,3,1,67
122,Texas Tech University,32.0,93,2,12.0,51,49,0,3,6,30,0,4,1,54
123,The College of Wooster,14.0,44,15,10.0,46,54,0,3,9,7,0,4,1,60
124,The University of Alabama,23.0,42,2,6.0,44,56,0,1,11,5,0,4,1,77
125,The University of Montana,30.0,67,1,14.0,43,57,5,1,1,6,0,5,5,76
126,The University of Tennessee-Knoxville,25.0,70,1,6.0,47,53,0,4,6,5,0,4,1,79
127,The University of Texas at Austin,28.0,93,4,,44,56,0,23,4,26,0,4,1,37
128,The University of the South,13.0,24,4,15.0,47,53,0,1,4,6,0,3,0,81
129,Trinity College,18.0,17,13,,49,51,0,4,7,9,0,3,2,62
130,Tufts University,15.0,26,11,14.0,46,54,0,15,4,8,0,6,5,51
131,Tulane University of Louisiana,18.0,11,5,16.0,39,61,0,5,6,8,0,4,2,69
132,Union College,13.0,23,8,12.0,53,47,0,6,5,10,0,3,0,68
133,United States Air Force Academy,,7,1,,72,28,0,7,7,11,0,7,2,64
134,United States Military Academy,,6,1,,76,24,1,8,13,12,0,3,1,62
135,United States Naval Academy,,5,1,,72,28,0,8,7,12,0,10,1,61
136,University at Buffalo,28.0,98,13,4.0,55,45,0,16,8,8,0,3,5,47
137,University of Arizona,31.0,61,5,7.0,45,55,1,5,4,28,0,5,3,48
138,University of Arkansas,26.0,52,2,11.0,45,55,1,3,4,10,0,4,1,75
139,University of California-Berkeley,35.0,85,13,9.0,46,54,0,35,2,19,0,6,3,22
140,University of California-Davis,41.0,95,16,,39,61,0,28,2,24,0,6,1,22
141,University of California-Irvine,44.0,96,16,6.0,47,53,0,37,2,25,0,5,1,13
142,University of California-Los Angeles,38.0,83,10,4.0,41,59,0,29,3,22,0,6,3,26
143,University of California-Merced,57.0,100,8,,47,53,0,18,4,58,0,3,0,8
144,University of California-Riverside,48.0,99,4,,46,54,0,35,4,41,0,4,1,11
145,University of California-San Diego,40.0,90,17,,50,50,0,33,2,22,0,5,2,19
146,University of California-Santa Barbara,42.0,91,13,5.0,45,55,0,18,2,25,0,9,3,30
147,University of California-Santa Cruz,37.0,97,8,11.0,53,47,0,23,2,27,0,8,2,30
148,University of Central Florida,35.0,92,3,,45,55,0,7,10,29,0,4,1,46
149,University of Chicago,20.0,14,15,10.0,52,48,0,20,5,15,0,7,2,35
150,University of Cincinnati-Main Campus,31.0,81,4,8.0,50,50,0,5,7,4,0,4,3,74
151,University of Connecticut,27.0,68,10,17.0,48,52,0,12,7,13,0,4,2,53
152,University of Dayton,10.0,53,4,15.0,51,49,0,1,4,7,0,3,1,80
153,University of Delaware,17.0,42,6,12.0,42,58,0,5,6,9,0,4,3,66
154,University of Denver,19.0,30,5,19.0,46,54,0,4,2,13,0,6,2,68
155,University of Florida,31.0,85,2,10.0,43,57,0,10,6,23,0,4,3,52
156,University of Georgia,18.0,86,1,5.0,42,58,0,11,7,7,0,4,1,69
157,University of Illinois Urbana-Champaign,25.0,85,13,8.0,54,46,0,20,6,14,0,4,1,42
158,University of Kansas,22.0,60,5,5.0,47,53,0,5,4,9,0,6,1,70
